 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  8.35502E+06,  0.00000E+00,  0.00000E+00,  1.89253E+06,  2.00000E-01, Thu Mar  5 17:37:20 2020
   2,  1.17221E+05, -9.85970E+01, -9.85970E+01,  8.21645E+04,  2.00000E-01, Thu Mar  5 17:37:20 2020
   3,  5.20894E+04, -9.93765E+01, -7.79545E-01,  4.76660E+04,  2.00000E-01, Thu Mar  5 17:37:20 2020
   4,  1.60132E+04, -9.98083E+01, -4.31791E-01,  2.03332E+04,  2.00000E-01, Thu Mar  5 17:37:21 2020
   5,  6.76016E+03, -9.99191E+01, -1.10748E-01,  1.06812E+04,  2.00000E-01, Thu Mar  5 17:37:21 2020
   6,  3.80060E+03, -9.99545E+01, -3.54225E-02,  6.90731E+03,  2.00000E-01, Thu Mar  5 17:37:21 2020
   7,  2.52888E+03, -9.99697E+01, -1.52211E-02,  5.06708E+03,  2.00000E-01, Thu Mar  5 17:37:21 2020
   8,  1.85343E+03, -9.99778E+01, -8.08436E-03,  4.00041E+03,  2.00000E-01, Thu Mar  5 17:37:22 2020
   9,  1.43996E+03, -9.99828E+01, -4.94873E-03,  3.30279E+03,  2.00000E-01, Thu Mar  5 17:37:22 2020
  10,  1.16115E+03, -9.99861E+01, -3.33697E-03,  2.80634E+03,  2.00000E-01, Thu Mar  5 17:37:22 2020
  11,  9.59968E+02, -9.99885E+01, -2.40797E-03,  2.43108E+03,  2.00000E-01, Thu Mar  5 17:37:22 2020
  12,  8.07543E+02, -9.99903E+01, -1.82435E-03,  2.13468E+03,  2.00000E-01, Thu Mar  5 17:37:23 2020
  13,  6.87860E+02, -9.99918E+01, -1.43247E-03,  1.89283E+03,  2.00000E-01, Thu Mar  5 17:37:23 2020
  14,  5.91343E+02, -9.99929E+01, -1.15520E-03,  1.69058E+03,  2.00000E-01, Thu Mar  5 17:37:23 2020
  15,  5.11916E+02, -9.99939E+01, -9.50653E-04,  1.51824E+03,  2.00000E-01, Thu Mar  5 17:37:23 2020
  16,  4.45528E+02, -9.99947E+01, -7.94593E-04,  1.36924E+03,  2.00000E-01, Thu Mar  5 17:37:23 2020
  17,  3.89362E+02, -9.99953E+01, -6.72242E-04,  1.23896E+03,  2.00000E-01, Thu Mar  5 17:37:24 2020
  18,  3.41389E+02, -9.99959E+01, -5.74172E-04,  1.12401E+03,  2.00000E-01, Thu Mar  5 17:37:24 2020
  19,  3.00105E+02, -9.99964E+01, -4.94133E-04,  1.02184E+03,  2.00000E-01, Thu Mar  5 17:37:24 2020
  20,  2.64363E+02, -9.99968E+01, -4.27790E-04,  9.30537E+02,  2.00000E-01, Thu Mar  5 17:37:25 2020
