 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  3.66122E+06,  0.00000E+00,  0.00000E+00,  1.00561E+06,  2.00000E-01, Thu Mar  5 17:38:16 2020
   2,  1.71954E+04, -9.95303E+01, -9.95303E+01,  1.90096E+04,  2.00000E-01, Thu Mar  5 17:38:16 2020
   3,  1.17586E+04, -9.96788E+01, -1.48499E-01,  1.53637E+04,  2.00000E-01, Thu Mar  5 17:38:16 2020
   4,  4.64389E+03, -9.98732E+01, -1.94325E-01,  7.96738E+03,  2.00000E-01, Thu Mar  5 17:38:16 2020
   5,  1.94727E+03, -9.99468E+01, -7.36535E-02,  4.19251E+03,  2.00000E-01, Thu Mar  5 17:38:17 2020
   6,  9.86550E+02, -9.99731E+01, -2.62405E-02,  2.51071E+03,  2.00000E-01, Thu Mar  5 17:38:17 2020
   7,  5.78866E+02, -9.99842E+01, -1.11352E-02,  1.67250E+03,  2.00000E-01, Thu Mar  5 17:38:17 2020
   8,  3.71999E+02, -9.99898E+01, -5.65020E-03,  1.19186E+03,  2.00000E-01, Thu Mar  5 17:38:17 2020
   9,  2.52723E+02, -9.99931E+01, -3.25782E-03,  8.85424E+02,  2.00000E-01, Thu Mar  5 17:38:17 2020
  10,  1.77842E+02, -9.99951E+01, -2.04526E-03,  6.75329E+02,  2.00000E-01, Thu Mar  5 17:38:18 2020
  11,  1.28133E+02, -9.99965E+01, -1.35771E-03,  5.24149E+02,  2.00000E-01, Thu Mar  5 17:38:18 2020
  12,  9.38951E+01, -9.99974E+01, -9.35149E-04,  4.11819E+02,  2.00000E-01, Thu Mar  5 17:38:18 2020
  13,  6.97190E+01, -9.99981E+01, -6.60329E-04,  3.26542E+02,  2.00000E-01, Thu Mar  5 17:38:18 2020
  14,  5.23460E+01, -9.99986E+01, -4.74514E-04,  2.60837E+02,  2.00000E-01, Thu Mar  5 17:38:18 2020
  15,  3.96976E+01, -9.99989E+01, -3.45470E-04,  2.09667E+02,  2.00000E-01, Thu Mar  5 17:38:19 2020
  16,  3.03928E+01, -9.99992E+01, -2.54146E-04,  1.69492E+02,  2.00000E-01, Thu Mar  5 17:38:19 2020
  17,  2.34873E+01, -9.99994E+01, -1.88611E-04,  1.37749E+02,  2.00000E-01, Thu Mar  5 17:38:19 2020
  18,  1.83209E+01, -9.99995E+01, -1.41113E-04,  1.12524E+02,  2.00000E-01, Thu Mar  5 17:38:19 2020
  19,  1.44255E+01, -9.99996E+01, -1.06395E-04,  9.23770E+01,  2.00000E-01, Thu Mar  5 17:38:19 2020
  20,  1.14659E+01, -9.99997E+01, -8.08352E-05,  7.62052E+01,  2.00000E-01, Thu Mar  5 17:38:19 2020
