 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  1.25325E+07,  0.00000E+00,  0.00000E+00,  9.46091E+05,  2.00000E-01, Thu Mar  5 16:53:37 2020
   2,  1.75948E+05, -9.85961E+01, -9.85961E+01,  4.11360E+04,  2.00000E-01, Thu Mar  5 16:53:37 2020
   3,  7.82215E+04, -9.93759E+01, -7.79780E-01,  2.38991E+04,  2.00000E-01, Thu Mar  5 16:53:38 2020
   4,  2.40952E+04, -9.98077E+01, -4.31886E-01,  1.02323E+04,  2.00000E-01, Thu Mar  5 16:53:39 2020
   5,  1.01411E+04, -9.99191E+01, -1.11343E-01,  5.37675E+03,  2.00000E-01, Thu Mar  5 16:53:40 2020
   6,  5.68432E+03, -9.99546E+01, -3.55616E-02,  3.47914E+03,  2.00000E-01, Thu Mar  5 16:53:41 2020
   7,  3.77199E+03, -9.99699E+01, -1.52589E-02,  2.55493E+03,  2.00000E-01, Thu Mar  5 16:53:42 2020
   8,  2.75675E+03, -9.99780E+01, -8.10081E-03,  2.01951E+03,  2.00000E-01, Thu Mar  5 16:53:42 2020
   9,  2.13518E+03, -9.99830E+01, -4.95969E-03,  1.66928E+03,  2.00000E-01, Thu Mar  5 16:53:43 2020
  10,  1.71589E+03, -9.99863E+01, -3.34560E-03,  1.41988E+03,  2.00000E-01, Thu Mar  5 16:53:44 2020
  11,  1.41327E+03, -9.99887E+01, -2.41470E-03,  1.23118E+03,  2.00000E-01, Thu Mar  5 16:53:45 2020
  12,  1.18404E+03, -9.99906E+01, -1.82910E-03,  1.08200E+03,  2.00000E-01, Thu Mar  5 16:53:46 2020
  13,  1.00418E+03, -9.99920E+01, -1.43512E-03,  9.60156E+02,  2.00000E-01, Thu Mar  5 16:53:47 2020
  14,  8.59339E+02, -9.99931E+01, -1.15573E-03,  8.58195E+02,  2.00000E-01, Thu Mar  5 16:53:48 2020
  15,  7.40388E+02, -9.99941E+01, -9.49133E-04,  7.71280E+02,  2.00000E-01, Thu Mar  5 16:53:48 2020
  16,  6.41234E+02, -9.99949E+01, -7.91176E-04,  6.96131E+02,  2.00000E-01, Thu Mar  5 16:53:49 2020
  17,  5.57627E+02, -9.99956E+01, -6.67125E-04,  6.30434E+02,  2.00000E-01, Thu Mar  5 16:53:50 2020
  18,  4.86494E+02, -9.99961E+01, -5.67581E-04,  5.72500E+02,  2.00000E-01, Thu Mar  5 16:53:51 2020
  19,  4.25550E+02, -9.99966E+01, -4.86286E-04,  5.21049E+02,  2.00000E-01, Thu Mar  5 16:53:52 2020
  20,  3.73043E+02, -9.99970E+01, -4.18972E-04,  4.75106E+02,  2.00000E-01, Thu Mar  5 16:53:53 2020
