---------------------------------
f0: compromise_function
f1: strain_energy_1
f2: strain_energy_2
---------------------------------
 itr,     f0_value,     f1_value,     f2_value, ||df0dx_st||, ||df1dx_st||, ||df2dx_st||
   1,  1.25325E+07,  8.35502E+06,  8.35502E+06,  1.32959E+06,  1.32959E+06,  1.25119E+06
   2,  1.75948E+05,  1.17392E+05,  1.17111E+05,  9.92308E+04,  9.92308E+04,  9.80367E+04
   3,  7.82215E+04,  5.21588E+04,  5.21255E+04,  5.86089E+04,  5.86089E+04,  5.80441E+04
   4,  2.40952E+04,  1.60622E+04,  1.60661E+04,  2.76887E+04,  2.76887E+04,  2.74485E+04
   5,  1.01411E+04,  6.75988E+03,  6.76241E+03,  1.57734E+04,  1.57734E+04,  1.56024E+04
   6,  5.68432E+03,  3.78909E+03,  3.79045E+03,  1.07523E+04,  1.07523E+04,  1.05928E+04
   7,  3.77199E+03,  2.51438E+03,  2.51522E+03,  8.15105E+03,  8.15105E+03,  7.98936E+03
   8,  2.75675E+03,  1.83765E+03,  1.83821E+03,  6.56770E+03,  6.56770E+03,  6.40026E+03
   9,  2.13518E+03,  1.42333E+03,  1.42371E+03,  5.49138E+03,  5.49138E+03,  5.31766E+03
  10,  1.71589E+03,  1.14385E+03,  1.14409E+03,  4.70236E+03,  4.70236E+03,  4.52292E+03
  11,  1.41327E+03,  9.42133E+02,  9.42272E+02,  4.09254E+03,  4.09254E+03,  3.90833E+03
  12,  1.18404E+03,  7.89339E+02,  7.89397E+02,  3.60296E+03,  3.60296E+03,  3.41508E+03
  13,  1.00418E+03,  6.69456E+02,  6.69450E+02,  3.19876E+03,  3.19876E+03,  3.00834E+03
  14,  8.59339E+02,  5.72911E+02,  5.72855E+02,  2.85796E+03,  2.85796E+03,  2.66608E+03
  15,  7.40389E+02,  4.93624E+02,  4.93528E+02,  2.56594E+03,  2.56594E+03,  2.37360E+03
  16,  6.41234E+02,  4.27532E+02,  4.27405E+02,  2.31257E+03,  2.31257E+03,  2.12070E+03
  17,  5.57627E+02,  3.71801E+02,  3.71651E+02,  2.09054E+03,  2.09054E+03,  1.89998E+03
  18,  4.86494E+02,  3.24386E+02,  3.24217E+02,  1.89444E+03,  1.89444E+03,  1.70593E+03
  19,  4.25550E+02,  2.83761E+02,  2.83580E+02,  1.72014E+03,  1.72014E+03,  1.53435E+03
  20,  3.73043E+02,  2.48758E+02,  2.48569E+02,  1.56443E+03,  1.56443E+03,  1.38192E+03
