 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  7.32244E+06,  0.00000E+00,  0.00000E+00,  3.87762E+02,  2.00000E-01, Thu Mar  5 18:04:41 2020
   2,  2.09428E+03, -9.99714E+01, -9.99714E+01,  3.02802E+01,  2.00000E-01, Thu Mar  5 18:04:41 2020
   3,  1.34176E+02, -9.99982E+01, -2.67685E-02,  1.46299E+01,  2.00000E-01, Thu Mar  5 18:04:42 2020
   4,  6.47807E+00, -9.99999E+01, -1.74392E-03,  6.14568E+00,  2.00000E-01, Thu Mar  5 18:04:42 2020
   5,  2.44062E+00, -1.00000E+02, -5.51381E-05,  1.15651E+00,  2.00000E-01, Thu Mar  5 18:04:42 2020
   6,  3.26093E+00, -1.00000E+02,  1.12028E-05,  3.63838E+00,  2.00000E-01, Thu Mar  5 18:04:43 2020
   7,  1.29010E+00, -1.00000E+02, -2.69150E-05,  6.13583E-01,  2.00000E-01, Thu Mar  5 18:04:43 2020
   8,  2.07285E+00, -1.00000E+02,  1.06897E-05,  1.72914E+00,  2.00000E-01, Thu Mar  5 18:04:43 2020
   9,  1.04527E+00, -1.00000E+02, -1.40332E-05,  4.03812E-01,  2.00000E-01, Thu Mar  5 18:04:44 2020
  10,  1.26161E+00, -1.00000E+02,  2.95451E-06,  1.09965E+00,  2.00000E-01, Thu Mar  5 18:04:44 2020
  11,  8.68214E-01, -1.00000E+02, -5.37252E-06,  3.77054E-01,  2.00000E-01, Thu Mar  5 18:04:44 2020
  12,  1.00668E+00, -1.00000E+02,  1.89101E-06,  7.76300E-01,  2.00000E-01, Thu Mar  5 18:04:45 2020
  13,  7.48450E-01, -1.00000E+02, -3.52658E-06,  2.62918E-01,  2.00000E-01, Thu Mar  5 18:04:45 2020
  14,  8.28553E-01, -1.00000E+02,  1.09394E-06,  6.06773E-01,  2.00000E-01, Thu Mar  5 18:04:45 2020
  15,  6.48166E-01, -1.00000E+02, -2.46349E-06,  2.11499E-01,  2.00000E-01, Thu Mar  5 18:04:46 2020
  16,  7.01713E-01, -1.00000E+02,  7.31275E-07,  4.67585E-01,  2.00000E-01, Thu Mar  5 18:04:46 2020
  17,  5.69387E-01, -1.00000E+02, -1.80712E-06,  1.68744E-01,  2.00000E-01, Thu Mar  5 18:04:46 2020
  18,  6.00401E-01, -1.00000E+02,  4.23548E-07,  3.60651E-01,  2.00000E-01, Thu Mar  5 18:04:47 2020
  19,  5.03085E-01, -1.00000E+02, -1.32902E-06,  1.38619E-01,  2.00000E-01, Thu Mar  5 18:04:47 2020
  20,  5.18645E-01, -1.00000E+02,  2.12504E-07,  2.76131E-01,  2.00000E-01, Thu Mar  5 18:04:48 2020
