---------------------------------
f0: compromise_function
f1: strain_energy_1
f2: strain_energy_2
---------------------------------
 itr,     f0_value,     f1_value,     f2_value, ||df0dx_st||, ||df1dx_st||, ||df2dx_st||
   1,  7.32244E+06,  3.66122E+06,  3.66122E+06,  1.70007E+05,  1.70007E+05,  9.22587E+05
   2,  2.09428E+03,  1.04096E+03,  1.05332E+03,  2.14059E+02,  2.14059E+02,  6.17934E+03
   3,  1.34176E+02,  6.55280E+01,  6.86475E+01,  6.01253E+01,  6.01253E+01,  9.13162E+02
   4,  6.47807E+00,  2.80828E+00,  3.66979E+00,  2.49038E+01,  2.49038E+01,  5.47865E+01
   5,  2.44062E+00,  1.14142E+00,  1.29920E+00,  7.04812E+00,  7.04812E+00,  2.12723E+01
   6,  3.26093E+00,  1.45004E+00,  1.81089E+00,  9.98995E+00,  9.98995E+00,  1.92028E+01
   7,  1.29010E+00,  6.06709E-01,  6.83388E-01,  5.99938E+00,  5.99938E+00,  1.05670E+01
   8,  2.07285E+00,  9.42532E-01,  1.13031E+00,  7.61207E+00,  7.61207E+00,  1.70597E+01
   9,  1.04527E+00,  4.95233E-01,  5.50038E-01,  4.11489E+00,  4.11489E+00,  8.24544E+00
  10,  1.26161E+00,  5.81259E-01,  6.80354E-01,  5.56111E+00,  5.56111E+00,  8.05233E+00
  11,  8.68214E-01,  4.13762E-01,  4.54452E-01,  3.93585E+00,  3.93585E+00,  6.22906E+00
  12,  1.00668E+00,  4.71285E-01,  5.35397E-01,  4.42450E+00,  4.42450E+00,  5.35677E+00
  13,  7.48450E-01,  3.59614E-01,  3.88836E-01,  3.04262E+00,  3.04262E+00,  4.92650E+00
  14,  8.28553E-01,  3.91811E-01,  4.36742E-01,  3.68153E+00,  3.68153E+00,  4.32476E+00
  15,  6.48166E-01,  3.13272E-01,  3.34894E-01,  2.68648E+00,  2.68648E+00,  3.89194E+00
  16,  7.01713E-01,  3.35181E-01,  3.66532E-01,  3.04678E+00,  3.04678E+00,  3.48918E+00
  17,  5.69387E-01,  2.76657E-01,  2.92730E-01,  2.26896E+00,  2.26896E+00,  3.08025E+00
  18,  6.00401E-01,  2.89249E-01,  3.11152E-01,  2.54893E+00,  2.54893E+00,  2.79840E+00
  19,  5.03085E-01,  2.45552E-01,  2.57533E-01,  1.94857E+00,  1.94857E+00,  2.44280E+00
  20,  5.18645E-01,  2.51730E-01,  2.66916E-01,  2.10534E+00,  2.10534E+00,  2.21637E+00
