---------------------------------
f0: compromise_function
f1: strain_energy_1
---------------------------------
 itr,     f0_value,     f1_value, ||df0dx_st||, ||df1dx_st||
   1,  8.35502E+06,  8.35502E+06,  2.50239E+06,  2.50239E+06
   2,  1.17221E+05,  1.17221E+05,  1.95963E+05,  1.95963E+05
   3,  5.20894E+04,  5.20894E+04,  1.16028E+05,  1.16028E+05
   4,  1.60132E+04,  1.60132E+04,  5.48738E+04,  5.48738E+04
   5,  6.76016E+03,  6.76016E+03,  3.13212E+04,  3.13212E+04
   6,  3.80060E+03,  3.80060E+03,  2.13693E+04,  2.13693E+04
   7,  2.52888E+03,  2.52888E+03,  1.62031E+04,  1.62031E+04
   8,  1.85343E+03,  1.85343E+03,  1.30557E+04,  1.30557E+04
   9,  1.43996E+03,  1.43996E+03,  1.09158E+04,  1.09158E+04
  10,  1.16115E+03,  1.16115E+03,  9.34729E+03,  9.34729E+03
  11,  9.59968E+02,  9.59968E+02,  8.13528E+03,  8.13528E+03
  12,  8.07543E+02,  8.07543E+02,  7.16232E+03,  7.16232E+03
  13,  6.87860E+02,  6.87860E+02,  6.35898E+03,  6.35898E+03
  14,  5.91343E+02,  5.91343E+02,  5.68141E+03,  5.68141E+03
  15,  5.11916E+02,  5.11916E+02,  5.10050E+03,  5.10050E+03
  16,  4.45528E+02,  4.45528E+02,  4.59603E+03,  4.59603E+03
  17,  3.89362E+02,  3.89362E+02,  4.15351E+03,  4.15351E+03
  18,  3.41389E+02,  3.41389E+02,  3.76217E+03,  3.76217E+03
  19,  3.00105E+02,  3.00105E+02,  3.41384E+03,  3.41384E+03
  20,  2.64363E+02,  2.64363E+02,  3.10225E+03,  3.10225E+03
