---------------------------------
f0: compromise_function
f1: strain_energy_1
---------------------------------
 itr,     f0_value,     f1_value, ||df0dx_st||, ||df1dx_st||
   1,  3.66122E+06,  3.66122E+06,  9.22587E+05,  9.22587E+05
   2,  1.71954E+04,  1.71954E+04,  2.36384E+04,  2.36384E+04
   3,  1.17586E+04,  1.17586E+04,  1.75091E+04,  1.75091E+04
   4,  4.64389E+03,  4.64389E+03,  8.38512E+03,  8.38512E+03
   5,  1.94727E+03,  1.94727E+03,  4.12514E+03,  4.12514E+03
   6,  9.86550E+02,  9.86550E+02,  2.41622E+03,  2.41622E+03
   7,  5.78866E+02,  5.78866E+02,  1.74380E+03,  1.74380E+03
   8,  3.71999E+02,  3.71999E+02,  1.31245E+03,  1.31245E+03
   9,  2.52723E+02,  2.52723E+02,  1.01776E+03,  1.01776E+03
  10,  1.77842E+02,  1.77842E+02,  8.22662E+02,  8.22662E+02
  11,  1.28133E+02,  1.28133E+02,  6.68234E+02,  6.68234E+02
  12,  9.38951E+01,  9.38951E+01,  5.44384E+02,  5.44384E+02
  13,  6.97190E+01,  6.97190E+01,  4.44431E+02,  4.44431E+02
  14,  5.23460E+01,  5.23460E+01,  3.63520E+02,  3.63520E+02
  15,  3.96976E+01,  3.96976E+01,  2.97919E+02,  2.97919E+02
  16,  3.03928E+01,  3.03928E+01,  2.44671E+02,  2.44671E+02
  17,  2.34873E+01,  2.34873E+01,  2.01404E+02,  2.01404E+02
  18,  1.83209E+01,  1.83209E+01,  1.66200E+02,  1.66200E+02
  19,  1.44255E+01,  1.44255E+01,  1.37509E+02,  1.37509E+02
  20,  1.14659E+01,  1.14659E+01,  1.14076E+02,  1.14076E+02
