 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  1.67100E+07,  0.00000E+00,  0.00000E+00,  2.77267E+02,  2.00000E-01, Fri Mar  6 13:31:56 2020
   2,  1.67340E+04, -9.98999E+01, -9.98999E+01,  5.95509E+01,  2.00000E-01, Fri Mar  6 13:31:56 2020
   3,  3.18555E+02, -9.99981E+01, -9.82368E-02,  2.09852E+01,  2.00000E-01, Fri Mar  6 13:31:56 2020
   4,  6.40913E+01, -9.99996E+01, -1.52282E-03,  9.69304E+00,  2.00000E-01, Fri Mar  6 13:31:57 2020
   5,  5.75926E+01, -9.99997E+01, -3.88913E-05,  9.54032E+00,  2.00000E-01, Fri Mar  6 13:31:58 2020
   6,  6.28993E+01, -9.99996E+01,  3.17576E-05,  1.08584E+01,  2.00000E-01, Fri Mar  6 13:31:58 2020
   7,  7.49942E+01, -9.99996E+01,  7.23813E-05,  1.27609E+01,  2.00000E-01, Fri Mar  6 13:31:58 2020
   8,  9.24267E+01, -9.99994E+01,  1.04323E-04,  1.49580E+01,  2.00000E-01, Fri Mar  6 13:31:59 2020
   9,  1.13734E+02, -9.99993E+01,  1.27513E-04,  1.73229E+01,  2.00000E-01, Fri Mar  6 13:31:59 2020
  10,  1.37344E+02, -9.99992E+01,  1.41293E-04,  1.97760E+01,  2.00000E-01, Fri Mar  6 13:32:00 2020
  11,  1.62210E+02, -9.99990E+01,  1.48808E-04,  2.22545E+01,  2.00000E-01, Fri Mar  6 13:32:00 2020
  12,  1.87932E+02, -9.99989E+01,  1.53930E-04,  2.47197E+01,  2.00000E-01, Fri Mar  6 13:32:00 2020
  13,  2.14532E+02, -9.99987E+01,  1.59186E-04,  2.71587E+01,  2.00000E-01, Fri Mar  6 13:32:01 2020
  14,  2.42097E+02, -9.99986E+01,  1.64959E-04,  2.95699E+01,  2.00000E-01, Fri Mar  6 13:32:02 2020
  15,  2.70478E+02, -9.99984E+01,  1.69847E-04,  3.19374E+01,  2.00000E-01, Fri Mar  6 13:32:02 2020
  16,  2.99220E+02, -9.99982E+01,  1.72004E-04,  3.42320E+01,  2.00000E-01, Fri Mar  6 13:32:02 2020
  17,  3.27875E+02, -9.99980E+01,  1.71486E-04,  3.64509E+01,  2.00000E-01, Fri Mar  6 13:32:03 2020
  18,  3.57712E+02, -9.99979E+01,  1.78557E-04,  3.87286E+01,  2.00000E-01, Fri Mar  6 13:32:03 2020
  19,  4.03757E+02, -9.99976E+01,  2.75549E-04,  4.17737E+01,  2.00000E-01, Fri Mar  6 13:32:04 2020
  20,  5.52722E+02, -9.99967E+01,  8.91472E-04,  4.88804E+01,  2.00000E-01, Fri Mar  6 13:32:04 2020
