---------------------------------
f0: compromise_function
f1: strain_energy_1
f2: strain_energy_2
---------------------------------
 itr,     f0_value,     f1_value,     f2_value, ||df0dx_st||, ||df1dx_st||, ||df2dx_st||
   1,  1.67100E+07,  8.35502E+06,  8.35502E+06,  6.36234E+05,  6.36234E+05,  2.50239E+06
   2,  1.67340E+04,  8.34426E+03,  8.38970E+03,  4.27572E+03,  4.27572E+03,  5.88334E+04
   3,  3.18555E+02,  1.55960E+02,  1.62594E+02,  1.51708E+02,  1.51708E+02,  3.50913E+03
   4,  6.40913E+01,  3.13665E+01,  3.27248E+01,  1.31399E+02,  1.31399E+02,  1.52201E+03
   5,  5.75926E+01,  2.86092E+01,  2.89833E+01,  1.42704E+02,  1.42704E+02,  1.36047E+03
   6,  6.28993E+01,  3.14808E+01,  3.14184E+01,  1.52759E+02,  1.52759E+02,  1.36261E+03
   7,  7.49942E+01,  3.76620E+01,  3.73322E+01,  1.61280E+02,  1.61280E+02,  1.43368E+03
   8,  9.24267E+01,  4.64840E+01,  4.59427E+01,  1.68554E+02,  1.68554E+02,  1.53646E+03
   9,  1.13734E+02,  5.72194E+01,  5.65147E+01,  1.74550E+02,  1.74550E+02,  1.64647E+03
  10,  1.37344E+02,  6.90743E+01,  6.82699E+01,  1.79074E+02,  1.79074E+02,  1.74769E+03
  11,  1.62210E+02,  8.15266E+01,  8.06836E+01,  1.81972E+02,  1.81972E+02,  1.83278E+03
  12,  1.87932E+02,  9.43858E+01,  9.35461E+01,  1.83254E+02,  1.83254E+02,  1.90051E+03
  13,  2.14532E+02,  1.07673E+02,  1.06859E+02,  1.83084E+02,  1.83084E+02,  1.95231E+03
  14,  2.42097E+02,  1.21439E+02,  1.20657E+02,  1.81695E+02,  1.81695E+02,  1.98895E+03
  15,  2.70478E+02,  1.35614E+02,  1.34864E+02,  1.79310E+02,  1.79310E+02,  2.00861E+03
  16,  2.99220E+02,  1.49971E+02,  1.49249E+02,  1.76155E+02,  1.76155E+02,  2.00721E+03
  17,  3.27875E+02,  1.64292E+02,  1.63583E+02,  1.72563E+02,  1.72563E+02,  1.98087E+03
  18,  3.57712E+02,  1.79212E+02,  1.78500E+02,  1.74667E+02,  1.74667E+02,  1.93273E+03
  19,  4.03757E+02,  2.02244E+02,  2.01512E+02,  1.85286E+02,  1.85286E+02,  1.90438E+03
  20,  5.52722E+02,  2.76882E+02,  2.75840E+02,  1.87029E+02,  1.87029E+02,  2.05768E+03
