 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  6.09280E+07,  0.00000E+00,  0.00000E+00,  6.85012E+06,  2.00000E-01, Mon Mar  9 17:04:45 2020
   2,  2.78315E+05, -9.95432E+01, -9.95432E+01,  1.28380E+05,  2.00000E-01, Mon Mar  9 17:04:45 2020
   3,  1.98720E+05, -9.96738E+01, -1.30637E-01,  1.07005E+05,  2.00000E-01, Mon Mar  9 17:04:46 2020
   4,  7.88370E+04, -9.98706E+01, -1.96762E-01,  5.57139E+04,  2.00000E-01, Mon Mar  9 17:04:46 2020
   5,  3.30477E+04, -9.99458E+01, -7.51530E-02,  2.93449E+04,  2.00000E-01, Mon Mar  9 17:04:47 2020
   6,  1.67053E+04, -9.99726E+01, -2.68225E-02,  1.75711E+04,  2.00000E-01, Mon Mar  9 17:04:47 2020
   7,  9.77328E+03, -9.99840E+01, -1.13774E-02,  1.17006E+04,  2.00000E-01, Mon Mar  9 17:04:47 2020
   8,  6.25990E+03, -9.99897E+01, -5.76644E-03,  8.33499E+03,  2.00000E-01, Mon Mar  9 17:04:48 2020
   9,  4.23703E+03, -9.99930E+01, -3.32009E-03,  6.18999E+03,  2.00000E-01, Mon Mar  9 17:04:48 2020
  10,  2.96909E+03, -9.99951E+01, -2.08105E-03,  4.71996E+03,  2.00000E-01, Mon Mar  9 17:04:49 2020
  11,  2.12884E+03, -9.99965E+01, -1.37908E-03,  3.66259E+03,  2.00000E-01, Mon Mar  9 17:04:49 2020
  12,  1.55121E+03, -9.99975E+01, -9.48050E-04,  2.87723E+03,  2.00000E-01, Mon Mar  9 17:04:49 2020
  13,  1.14422E+03, -9.99981E+01, -6.67995E-04,  2.28121E+03,  2.00000E-01, Mon Mar  9 17:04:50 2020
  14,  8.52472E+02, -9.99986E+01, -4.78837E-04,  1.82212E+03,  2.00000E-01, Mon Mar  9 17:04:50 2020
  15,  6.40674E+02, -9.99989E+01, -3.47620E-04,  1.46468E+03,  2.00000E-01, Mon Mar  9 17:04:51 2020
  16,  4.85384E+02, -9.99992E+01, -2.54875E-04,  1.18411E+03,  2.00000E-01, Mon Mar  9 17:04:51 2020
  17,  3.70586E+02, -9.99994E+01, -1.88414E-04,  9.62459E+02,  2.00000E-01, Mon Mar  9 17:04:52 2020
  18,  2.85091E+02, -9.99995E+01, -1.40323E-04,  7.86350E+02,  2.00000E-01, Mon Mar  9 17:04:52 2020
  19,  2.20972E+02, -9.99996E+01, -1.05236E-04,  6.45705E+02,  2.00000E-01, Mon Mar  9 17:04:53 2020
  20,  1.72560E+02, -9.99997E+01, -7.94579E-05,  5.32821E+02,  2.00000E-01, Mon Mar  9 17:04:53 2020
