---------------------------------
f0: compromise_function
f1: strain_energy_1
f2: strain_energy_2
---------------------------------
 itr,     f0_value,     f1_value,     f2_value, ||df0dx_st||, ||df1dx_st||, ||df2dx_st||
   1,  5.72668E+07,  5.72668E+07,  2.01454E-02,  7.24049E+06,  7.24049E+06,  4.76353E-01
   2,  2.63481E+05,  2.63481E+05,  1.12841E-03,  1.84290E+05,  1.84290E+05,  2.50809E-02
   3,  1.87203E+05,  1.87203E+05,  1.01989E-03,  1.39582E+05,  1.39582E+05,  2.02914E-02
   4,  7.40681E+04,  7.40681E+04,  7.67983E-04,  6.69864E+04,  6.69864E+04,  6.87994E-03
   5,  3.10446E+04,  3.10446E+04,  5.87620E-04,  3.29876E+04,  3.29876E+04,  2.25810E-03
   6,  1.57022E+04,  1.57022E+04,  4.76790E-04,  1.92929E+04,  1.92929E+04,  1.57151E-03
   7,  9.19161E+03,  9.19160E+03,  4.05189E-04,  1.39240E+04,  1.39240E+04,  1.30188E-03
   8,  5.88974E+03,  5.88974E+03,  3.54417E-04,  1.04814E+04,  1.04814E+04,  1.11533E-03
   9,  3.98762E+03,  3.98762E+03,  3.15498E-04,  8.12981E+03,  8.12981E+03,  9.73091E-04
  10,  2.79483E+03,  2.79483E+03,  2.83941E-04,  6.57162E+03,  6.57162E+03,  8.58356E-04
