---------------------------------
f0: compromise_function
f1: strain_energy_1
---------------------------------
 itr,     f0_value,     f1_value, ||df0dx_st||, ||df1dx_st||
   1,  3.66122E+06,  3.66122E+06,  9.22559E+05,  9.22559E+05
   2,  1.72358E+04,  1.72358E+04,  2.36714E+04,  2.36714E+04
   3,  1.17692E+04,  1.17692E+04,  1.75248E+04,  1.75248E+04
   4,  4.62797E+03,  4.62797E+03,  8.36641E+03,  8.36641E+03
   5,  1.93500E+03,  1.93500E+03,  4.10707E+03,  4.10707E+03
   6,  9.78792E+02,  9.78792E+02,  2.40606E+03,  2.40606E+03
   7,  5.73799E+02,  5.73799E+02,  1.73609E+03,  1.73609E+03
   8,  3.68517E+02,  3.68517E+02,  1.30662E+03,  1.30662E+03
   9,  2.50239E+02,  2.50239E+02,  1.01136E+03,  1.01136E+03
  10,  1.76028E+02,  1.76028E+02,  8.17411E+02,  8.17411E+02
  11,  1.26787E+02,  1.26787E+02,  6.63900E+02,  6.63900E+02
  12,  9.28870E+01,  9.28870E+01,  5.40794E+02,  5.40794E+02
  13,  6.89589E+01,  6.89589E+01,  4.41447E+02,  4.41447E+02
  14,  5.17701E+01,  5.17701E+01,  3.61030E+02,  3.61030E+02
  15,  3.92595E+01,  3.92595E+01,  2.95831E+02,  2.95831E+02
  16,  3.00583E+01,  3.00583E+01,  2.42911E+02,  2.42911E+02
  17,  2.32310E+01,  2.32310E+01,  1.99912E+02,  1.99912E+02
  18,  1.81236E+01,  1.81236E+01,  1.64925E+02,  1.64925E+02
  19,  1.42730E+01,  1.42730E+01,  1.36411E+02,  1.36411E+02
  20,  1.13474E+01,  1.13474E+01,  1.13122E+02,  1.13122E+02
