 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  3.09230E+01,  0.00000E+00,  0.00000E+00,  1.10435E+01,  5.00000E-01, Tue Mar 24 19:20:13 2020
   2,  3.19092E+01,  3.18919E+00,  3.18919E+00,  1.14650E+01,  5.00000E-01, Tue Mar 24 19:20:45 2020
   3,  1.71502E+01, -4.45389E+01, -4.77281E+01,  4.58797E+00,  5.00000E-01, Tue Mar 24 19:21:17 2020
   4,  9.62302E+00, -6.88807E+01, -2.43418E+01,  1.68989E+00,  5.00000E-01, Tue Mar 24 19:21:48 2020
   5,  7.92523E+00, -7.43711E+01, -5.49038E+00,  1.13743E+00,  5.00000E-01, Tue Mar 24 19:22:21 2020
   6,  5.77347E+00, -8.13295E+01, -6.95847E+00,  6.43808E-01,  5.00000E-01, Tue Mar 24 19:23:05 2020
   7,  3.45599E+00, -8.88239E+01, -7.49435E+00,  2.60997E-01,  5.00000E-01, Tue Mar 24 19:23:48 2020
   8,  2.31562E+00, -9.25116E+01, -3.68776E+00,  1.36311E-01,  5.00000E-01, Tue Mar 24 19:24:32 2020
   9,  1.46260E+00, -9.52702E+01, -2.75855E+00,  7.31651E-02,  5.00000E-01, Tue Mar 24 19:25:15 2020
  10,  1.15139E+00, -9.62766E+01, -1.00639E+00,  5.28985E-02,  5.00000E-01, Tue Mar 24 19:25:51 2020
  11,  9.94313E-01, -9.67846E+01, -5.07969E-01,  5.72913E-02,  5.00000E-01, Tue Mar 24 19:26:22 2020
  12,  9.03943E-01, -9.70768E+01, -2.92241E-01,  7.34789E-02,  5.00000E-01, Tue Mar 24 19:26:54 2020
  13,  6.33517E-01, -9.79513E+01, -8.74513E-01,  2.82061E-02,  5.00000E-01, Tue Mar 24 19:27:34 2020
  14,  5.93790E-01, -9.80798E+01, -1.28472E-01,  5.08190E-02,  5.00000E-01, Tue Mar 24 19:28:17 2020
  15,  4.18764E-01, -9.86458E+01, -5.66005E-01,  1.29858E-02,  5.00000E-01, Tue Mar 24 19:29:01 2020
  16,  4.98677E-01, -9.83874E+01,  2.58425E-01,  5.65761E-02,  5.00000E-01, Tue Mar 24 19:29:43 2020
  17,  2.90036E-01, -9.90621E+01, -6.74710E-01,  8.46459E-03,  5.00000E-01, Tue Mar 24 19:30:25 2020
  18,  2.86963E-01, -9.90720E+01, -9.93895E-03,  1.86343E-02,  5.00000E-01, Tue Mar 24 19:31:09 2020
  19,  2.52553E-01, -9.91833E+01, -1.11278E-01,  1.49367E-02,  5.00000E-01, Tue Mar 24 19:31:43 2020
  20,  2.15571E-01, -9.93029E+01, -1.19591E-01,  1.08808E-02,  5.00000E-01, Tue Mar 24 19:32:15 2020
