 itr,            f,    df_abs[%],    df_rel[%],      norm_df,    step_size,               time_stamp
   1,  2.97381E+01,  0.00000E+00,  0.00000E+00,  1.06335E+01,  5.00000E-01, Tue Mar 24 19:38:24 2020
   2,  2.89914E+01, -2.51087E+00, -2.51087E+00,  1.12196E+01,  5.00000E-01, Tue Mar 24 19:38:33 2020
   3,  1.20149E+01, -5.95974E+01, -5.70866E+01,  3.04094E+00,  5.00000E-01, Tue Mar 24 19:38:42 2020
   4,  5.54159E+00, -8.13653E+01, -2.17679E+01,  1.29455E+00,  5.00000E-01, Tue Mar 24 19:38:51 2020
   5,  2.34414E+00, -9.21174E+01, -1.07521E+01,  3.48323E-01,  5.00000E-01, Tue Mar 24 19:39:00 2020
   6,  1.09648E+00, -9.63129E+01, -4.19551E+00,  1.52916E-01,  5.00000E-01, Tue Mar 24 19:39:08 2020
   7,  7.21667E-01, -9.75733E+01, -1.26038E+00,  1.09281E-01,  5.00000E-01, Tue Mar 24 19:39:17 2020
   8,  5.50265E-01, -9.81496E+01, -5.76372E-01,  7.46878E-02,  5.00000E-01, Tue Mar 24 19:39:25 2020
   9,  4.42882E-01, -9.85107E+01, -3.61093E-01,  5.69143E-02,  5.00000E-01, Tue Mar 24 19:39:34 2020
  10,  3.61580E-01, -9.87841E+01, -2.73395E-01,  3.95290E-02,  5.00000E-01, Tue Mar 24 19:39:42 2020
  11,  3.02239E-01, -9.89837E+01, -1.99546E-01,  3.76974E-02,  5.00000E-01, Tue Mar 24 19:39:51 2020
  12,  2.49430E-01, -9.91612E+01, -1.77580E-01,  3.02594E-02,  5.00000E-01, Tue Mar 24 19:40:00 2020
  13,  2.22321E-01, -9.92524E+01, -9.11602E-02,  3.12612E-02,  5.00000E-01, Tue Mar 24 19:40:09 2020
  14,  1.91769E-01, -9.93551E+01, -1.02734E-01,  2.41300E-02,  5.00000E-01, Tue Mar 24 19:40:18 2020
  15,  1.69968E-01, -9.94284E+01, -7.33119E-02,  2.07508E-02,  5.00000E-01, Tue Mar 24 19:40:27 2020
  16,  1.48917E-01, -9.94992E+01, -7.07877E-02,  1.67239E-02,  5.00000E-01, Tue Mar 24 19:40:36 2020
  17,  1.33397E-01, -9.95514E+01, -5.21896E-02,  1.42075E-02,  5.00000E-01, Tue Mar 24 19:40:44 2020
  18,  1.14210E-01, -9.96159E+01, -6.45205E-02,  8.81950E-03,  5.00000E-01, Tue Mar 24 19:40:52 2020
  19,  1.05348E-01, -9.96457E+01, -2.97980E-02,  1.07803E-02,  5.00000E-01, Tue Mar 24 19:41:02 2020
  20,  9.34565E-02, -9.96857E+01, -3.99885E-02,  1.02926E-02,  5.00000E-01, Tue Mar 24 19:41:11 2020
